Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
2.04173794466951e+03	(3.53940989003915e+01dB,9.22175444171635e+01°)
2.08929613085402e+03	(3.51946254412896e+01dB,9.21259875820915e+01°)
2.13796208950221e+03	(3.49951237730650e+01dB,9.20355462038613e+01°)
2.18776162394953e+03	(3.47955949431992e+01dB,9.19461731581478e+01°)
2.23872113856832e+03	(3.45960399424171e+01dB,9.18578218346900e+01°)
2.29086765276775e+03	(3.43964597067127e+01dB,9.17704461169030e+01°)
2.34422881531990e+03	(3.41968551192617e+01dB,9.16840003612061e+01°)
2.39883291901947e+03	(3.39972270122433e+01dB,9.15984393751599e+01°)
2.45470891568501e+03	(3.37975761685421e+01dB,9.15137183975243e+01°)
2.51188643150955e+03	(3.35979033233654e+01dB,9.14297930763340e+01°)
2.57039578276884e+03	(3.33982091657537e+01dB,9.13466194489133e+01°)
2.63026799189535e+03	(3.31984943399993e+01dB,9.12641539208889e+01°)
2.69153480392689e+03	(3.29987594469784e+01dB,9.11823532451808e+01°)
2.75422870333814e+03	(3.27990050453921e+01dB,9.11011745014165e+01°)
2.81838293126442e+03	(3.25992316529190e+01dB,9.10205750757466e+01°)
2.88403150312658e+03	(3.23994397472846e+01dB,9.09405126396976e+01°)
2.95120922666635e+03	(3.21996297672532e+01dB,9.08609451299925e+01°)
3.01995172040198e+03	(3.19998021135354e+01dB,9.07818307278274e+01°)
3.09029543251356e+03	(3.17999571496161e+01dB,9.07031278388819e+01°)
3.16227766016835e+03	(3.16000952025099e+01dB,9.06247950723573e+01°)
3.23593656929625e+03	(3.14002165634394e+01dB,9.05467912210970e+01°)
3.31131121482588e+03	(3.12003214884368e+01dB,9.04690752412679e+01°)
3.38844156139199e+03	(3.10004101988775e+01dB,9.03916062317785e+01°)
3.46736850452528e+03	(3.08004828819409e+01dB,9.03143434142461e+01°)
3.54813389233572e+03	(3.06005396909950e+01dB,9.02372461127557e+01°)
3.63078054770097e+03	(3.04005807459188e+01dB,9.01602737338218e+01°)
3.71535229097168e+03	(3.02006061333500e+01dB,9.00833857458783e+01°)
3.80189396320557e+03	(3.00006159068647e+01dB,9.00065416591644e+01°)
3.89045144994276e+03	(2.98006100870869e+01dB,8.99297010061580e+01°)
3.98107170553493e+03	(2.96005886617360e+01dB,8.98528233207358e+01°)
4.07380277804108e+03	(2.94005515855971e+01dB,8.97758681183042e+01°)
4.16869383470331e+03	(2.92004987804302e+01dB,8.96987948754934e+01°)
